Identifier	Character	Dialogue	Filename	Line Number
start_c86be9cb		Just another day in the ghetto.	/home/stefan/bin/script.rpyc	123
start_a1ab086a		Nothing particularly [[MLG] going on, when suddenly...	/home/stefan/bin/script.rpyc	124
start_5d5e6a93	d	Maaaaaan.	/home/stefan/bin/script.rpyc	125
start_aaa36980	d	I'm all outta MTN DEW! And it's dew today!	/home/stefan/bin/script.rpyc	126
start_7a5e2a81	d	Faze will kick me out at this rate!	/home/stefan/bin/script.rpyc	127
start_7fa6f4b3	d	How can I be a professional [[MLG] quickscoper that way?!	/home/stefan/bin/script.rpyc	128
start_884c6fbd	d	Better get some quick!	/home/stefan/bin/script.rpyc	129
start_bfd25fba		Duane heads off to the next store in hope of finding some MTN DEW.	/home/stefan/bin/script.rpyc	130
start_673d796b	d	I'll try this one!	/home/stefan/bin/script.rpyc	135
start_c455f96a	d	I wonder if they got the dew here...	/home/stefan/bin/script.rpyc	140
start_201f5705		I'll just ask this dude, he looks pretty swell.	/home/stefan/bin/script.rpyc	141
start_d4610402	d	Ayyy does this place got some Red Cherry Dew?	/home/stefan/bin/script.rpyc	147
start_79bb4865	a	Hey buddy I think you got the wrong door.	/home/stefan/bin/script.rpyc	148
start_b3afdfef	a	The Dew Store is two blocks down.	/home/stefan/bin/script.rpyc	149
start_ef8e40b7	d	Oh shit I'm sorry.	/home/stefan/bin/script.rpyc	150
start_9a3436ef	a	Sorry for what?	/home/stefan/bin/script.rpyc	151
start_4e5737ed		What was I even thinking looking for MTN DEW here.	/home/stefan/bin/script.rpyc	152
start_e9391c9d		There's no way they sell it here!	/home/stefan/bin/script.rpyc	153
start_19612b38		Man this really sucks!	/home/stefan/bin/script.rpyc	154
start_5eb59fe0		I don't deserve this shit.	/home/stefan/bin/script.rpyc	155
start_e83fd180		I should've listened to the Leatherman and...	/home/stefan/bin/script.rpyc	156
start_a8a76396		Oh wait, isn't that him?	/home/stefan/bin/script.rpyc	157
start_ae7a4be1	d	Hey Leatherman! It's me, the boy next door! Remember?	/home/stefan/bin/script.rpyc	162
start_82822a0c	l	...	/home/stefan/bin/script.rpyc	167
start_c6bd4e1a	d	Maaan what a shitty gym, doesn't even got no dew.	/home/stefan/bin/script.rpyc	168
start_5e1d008e	l	......	/home/stefan/bin/script.rpyc	169
start_cc60c51f	d	What are you even dewing here, Leatherman?	/home/stefan/bin/script.rpyc	170
start_6feb433a	d	Get it? Dewing?	/home/stefan/bin/script.rpyc	171
start_6370ed94	l	.........	/home/stefan/bin/script.rpyc	172
start_e5c73c01	d	Aaaaanyway, shouldn't you be in class? I'm gonna tell the teacher!	/home/stefan/bin/script.rpyc	173
start_0041f1ac	l	Fuck you.	/home/stefan/bin/script.rpyc	174
start_ac024562		That's a bit harsh.	/home/stefan/bin/script.rpyc	175
start_55710720	a	Don't you think you are being a bit rude there?	/home/stefan/bin/script.rpyc	184
start_0315f81d	l	Fuck you too.	/home/stefan/bin/script.rpyc	185
start_45abf50c	a	No fuck you, Leatherman. Why don't you and I settle this in the ring if you think you're so tough.	/home/stefan/bin/script.rpyc	186
